iter	Passed	Remaining
399	32067	48100
400	32138	48007
401	32224	47936
402	32309	47863
403	32382	47772
404	32465	47696
405	32543	47612
406	32623	47532
407	32699	47445
408	32774	47358
409	32848	47269
410	32938	47203
411	33020	47126
412	33100	47046
413	33175	46958
414	33253	46874
415	33333	46794
416	33410	46711
417	33479	46615
418	33563	46540
419	33649	46467
420	33726	46383
421	33803	46299
422	33877	46210
423	33953	46125
424	34028	46038
425	34113	45965
426	34186	45874
427	34266	45794
428	34349	45718
429	34420	45626
430	34511	45560
431	34583	45471
432	34659	45386
433	34742	45309
434	34816	45221
435	34887	45130
436	34966	45048
437	35039	44959
438	35113	44872
439	35190	44787
440	35280	44720
441	35371	44655
442	35461	44587
443	35550	44518
444	35644	44455
445	35727	44378
446	35803	44293
447	35883	44213
448	35971	44143
449	36052	44064
450	36122	43971
451	36202	43890
452	36297	43829
453	36398	43774
454	36502	43722
455	36592	43654
456	36691	43596
457	36776	43521
458	36865	43451
459	36963	43392
460	37043	43311
461	37117	43223
462	37192	43137
463	37256	43037
464	37324	42942
465	37384	42839
466	37455	42748
467	37520	42651
468	37577	42545
469	37635	42440
470	37707	42351
471	37777	42260
472	37841	42161
473	37912	42071
474	37992	41992
475	38063	41902
476	38141	41819
477	38214	41732
478	38277	41633
479	38351	41547
480	38425	41461
481	38502	41378
482	38572	41287
483	38657	41212
484	38733	41129
485	38817	41053
486	38896	40972
487	38978	40895
488	39052	40809
489	39115	40712
490	39186	40623
491	39255	40532
492	39347	40464
493	39430	40387
494	39512	40310
495	39582	40221
496	39655	40134
497	39725	40044
498	39802	39961
499	39891	39891
500	39975	39815
501	40057	39738
502	40138	39659
503	40227	39589
504	40316	39518
505	40386	39428
506	40466	39348
507	40540	39263
508	40618	39181
509	40712	39116
510	40801	39045
511	40867	38952
512	40942	38867
513	41014	38780
514	41100	38705
515	41206	38650
516	41296	38580
517	41369	38494
518	41447	38412
519	41524	38330
520	41618	38263
521	41702	38186
522	41775	38100
523	41855	38021
524	41934	37940
525	42036	37880
526	42120	37804
527	42194	37719
528	42262	37629
529	42334	37541
530	42415	37463
531	42499	37386
532	42563	37292
533	42650	37219
534	42725	37135
535	42806	37056
536	42871	36963
537	42946	36880
538	43036	36808
539	43145	36753
540	43237	36684
541	43329	36614
542	43416	36539
543	43496	36460
544	43582	36385
545	43663	36306
546	43744	36227
547	43828	36150
548	43911	36072
549	43989	35991
550	44069	35911
551	44158	35838
552	44255	35772
553	44343	35699
554	44418	35614
555	44498	35534
556	44577	35454
557	44661	35376
558	44742	35297
559	44823	35218
560	44902	35137
561	44991	35064
562	45073	34985
563	45150	34903
564	45222	34817
565	45305	34739
566	45394	34666
567	45479	34589
568	45550	34502
569	45632	34424
570	45711	34343
571	45788	34261
572	45865	34179
573	45940	34094
574	46020	34015
575	46100	33935
576	46181	33855
577	46281	33790
578	46379	33723
579	46454	33639
580	46522	33550
581	46612	33478
582	46697	33401
583	46776	33319
584	46857	33240
585	46942	33164
586	47020	33082
587	47108	33008
588	47190	32928
589	47266	32846
590	47339	32761
591	47427	32686
592	47525	32618
593	47624	32551
594	47698	32467
595	47764	32377
596	47831	32288
597	47901	32201
598	47971	32114
599	48050	32033
600	48124	31949
601	48201	31867
602	48280	31786
603	48370	31712
604	48447	31630
605	48520	31546
606	48607	31470
607	48688	31391
608	48755	31302
609	48824	31215
610	48895	31129
611	48968	31045
612	49042	30961
613	49113	30876
614	49196	30797
615	49276	30717
616	49352	30635
617	49420	30547
618	49497	30465
619	49567	30380
620	49647	30300
621	49712	30211
622	49791	30130
623	49868	30048
624	49938	29963
625	50025	29887
626	50102	29805
627	50173	29720
628	50243	29634
629	50324	29555
630	50401	29473
631	50487	29397
632	50592	29332
633	50719	29279
634	50798	29199
635	50899	29130
636	50990	29057
637	51090	28988
638	51177	28912
639	51264	28836
640	51351	28760
641	51433	28680
642	51549	28620
643	51641	28547
644	51718	28465
645	51808	28390
646	51946	28341
647	52119	28312
648	52232	28248
649	52326	28176
650	52425	28104
651	52504	28023
652	52589	27945
653	52682	27871
654	52784	27802
655	52878	27729
656	52963	27650
657	53058	27577
658	53176	27516
659	53308	27462
660	53470	27423
661	53570	27351
662	53647	27268
663	53722	27184
664	53816	27110
665	53909	27035
666	53992	26955
667	54085	26880
668	54169	26801
669	54254	26722
670	54322	26634
671	54407	26556
672	54507	26484
673	54587	26402
674	54677	26326
675	54754	26243
676	54845	26166
677	54934	26089
678	55013	26008
679	55094	25926
680	55170	25843
681	55248	25761
682	55331	25680
683	55403	25595
684	55489	25516
685	55564	25433
686	55646	25352
687	55723	25270
688	55798	25186
689	55886	25108
690	55979	25032
691	56060	24951
692	56149	24874
693	56221	24789
694	56297	24706
695	56375	24623
696	56464	24546
697	56545	24465
698	56621	24381
699	56697	24299
700	56777	24217
701	56856	24135
702	56938	24055
703	57029	23978
704	57112	23897
705	57199	23819
706	57276	23736
707	57351	23653
708	57429	23571
709	57504	23487
710	57579	23404
711	57666	23325
712	57760	23250
713	57836	23167
714	57920	23087
715	58000	23005
716	58082	22925
717	58162	22843
718	58258	22768
719	58367	22698
720	58462	22622
721	58546	22542
722	58633	22463
723	58720	22384
724	58806	22305
725	58899	22229
726	58991	22152
727	59065	22068
728	59155	21990
729	59248	21913
730	59343	21837
731	59427	21757
732	59515	21678
733	59594	21597
734	59682	21518
735	59761	21436
736	59839	21353
737	59934	21277
738	60010	21194
739	60091	21113
740	60164	21029
741	60256	20951
742	60336	20870
743	60416	20788
744	60497	20707
745	60602	20634
746	60691	20555
747	60787	20479
748	60867	20397
749	60956	20318
750	61048	20241
751	61128	20159
752	61239	20087
753	61328	20008
754	61402	19925
755	61482	19843
756	61565	19762
757	61640	19679
758	61716	19596
759	61796	19514
760	61879	19433
761	61970	19355
762	62057	19275
763	62138	19194
764	62217	19112
765	62296	19030
766	62384	18951
767	62465	18869
768	62551	18789
769	62634	18709
770	62714	18627
771	62792	18544
772	62879	18465
773	62948	18380
774	63030	18299
775	63109	18217
776	63182	18133
777	63263	18052
778	63353	17973
779	63434	17891
780	63500	17806
781	63575	17723
782	63652	17640
783	63737	17560
784	63809	17476
785	63885	17393
786	63962	17311
787	64052	17232
788	64126	17149
789	64208	17067
790	64283	16985
